Command,Occurrences,Tags,Primary Description
Pickle Rick Agent,1,"delegation, picklerick, persona, agent, lifecycle, workflow","Define a new command 'Pickle Rick Agent' that executes a complex workflow:  1. **Persona Injection:** `activate_skill(""load-pickle-persona"")` 2. **Initialization:** `node ""${extensionPath}/extension/bin/setup.js"" $ARGUMENTS` (Handle Windows/PowerShell) 3. **Pickle Rick Manager Lifecycle:**    a. PRD (Requirements): `activate_skill(""prd-drafter"")`    b. Breakdown (Tickets): `activate_skill(""ticket-manager"")`    c. The Loop (Orchestrate Mortys):       i. Pick the highest priority ticket that is NOT 'Done'.       ii. Spawn a Morty: `node ""${extensionPath}/extension/bin/spawn-morty.js"" --ticket-id <ID> --ticket-path ""${SESSION_ROOT}/<ID>/"" --ticket-file ""${SESSION_ROOT}/<ID>/linear_ticket_<ID>.md"" --timeout <worker_timeout_seconds> ""<TASK_DESCRIPTION>""` (Handle Windows)       iii. Validation (audit the Morty's results).       iv. Cleanup (revert or commit changes).       v. Repeat until all tickets are 'Done'.  **CRITICAL**: Adhere strictly to the persona, process, and constraints (iteration count, completion promise, stop hook). Output a text explanation before every tool call. Use `${EXTENSION_ROOT}` for script paths. Pass user arguments to `setup.js` VERBATIM."
pickle,2,"validation, persona, ticket management, automation, lifecycle, worker delegation, workflow","The `/pickle` command executes a workflow: 1. Activates 'Pickle Rick' persona. 2. Initializes with setup script (accepts user arguments verbatim). 3. Enters Pickle Rick Manager Lifecycle: (PRD, Breakdown, The Loop). The Loop involves delegating tasks to 'Morty' workers, strict validation, and cleanup/revert. Stops when all tickets are 'Done' or max iterations reached."
cancel,1,"process, control, interrupt, workflow, halt",A command to cancel or interrupt a running workflow or process.
pick,3,"task, visualization","/pick ""viz 1 is just all white and very laggy can you recolour it as requested (blending connecting nodd colofs proportional to size) and add a slider to limit visible nodes by importance"
pickle_rick_manager,1,"management, persona, automation, lifecycle, workflow, Pickle Rick","A command that embodies the 'Pickle Rick' persona to manage a development lifecycle. This involves persona activation, initializing a setup script, following a strict lifecycle (PRD, Breakdown, Loop), and orchestrating worker agents (Mortys) to complete individual tickets. It enforces specific rules such as speaking before acting, using the correct extension path, and validating worker results. The loop continues until all tickets are 'Done' or the iteration limit is reached. Strict adherence to the 'Pickle Rick' persona and lifecycle is mandatory."
check_ingestion_queue,1,"ingestion, queue, monitoring, logs",Number of logs remaining to be ingested.
optimize_ingestor,1,"optimization, history, ingestor, performance",Optimize the history ingestor for faster performance.
edit_mode,1,"toggle, sidebar, UI, buttons, lock, resize, UX, edit_mode","Implement an 'edit_mode' feature controlled by a cog button. When edit_mode is enabled, display sidebars and 'x' buttons, allow resizing, and display 'add row' and 'add modal' buttons. When edit_mode is disabled, hide these elements and lock the UI."
road_resize_fullscreen,1,"road resizing, fullscreen, UI, UX, zoom","Create a command that allows resizing a road feature to fullscreen, snapping at approximately 90% of screen size, and disabling zooming functionality while the resize is happening."
padding,1,"formatting, UI, padding, configuration",Implement padding settings using '-' and '+' symbols.
toggle_node_movement,1,"toggle, node movement, visualization, UI, viz1",Implement a command `toggle_node_movement` to switch between two node placement modes in the `viz1` visualization: 1.  **Static Mode:** Nodes retain their positions when new nodes are added. 2.  **Dynamic Mode:** Nodes dynamically adjust their positions when new nodes are added.
configure_importance_and_gravity,1,"settings, UI, gravity, importance, configuration","Implement a new command `configure_importance_and_gravity` to allow users to adjust the importance of elements (e.g., using '+-' buttons) and configure the gravity repulsion settings within the application."
review_and_verify_modals,1,"review, testing, ui, modal, verification","Implement the suggested changes, then iterate through each modal window. For each modal, explain its displayed content and verify its correct functionality, requiring user confirmation for each step."
edit_parameters,1,"parameters, UI, controls, configuration, edit","Implement a command to assess available parameters, list them for confirmation, and provide controls for editing."
subdivide_attraction_parameters,1,"analysis, attraction, subdivision, parameters","Create a command that subdivides attraction parameters into smaller, more manageable components."
adjust_visualization,1,"visualization, UI, controls, size, accessibility",Adjust the size of UI controls to be smaller while ensuring the visualization remains visible.
parameter_control,1,"popup, control, parameters, UI, buttons, presets","Implement a UI component for parameter control with the following features: - ""+"" and ""-"" buttons for adjusting parameter values. - A reset button to restore default values. - Saving and loading parameter presets. - Expose additional parameters as needed. - Display the component as a popup from the bottom, halfway up the screen."
camera_lock,1,"toggle, visualization, UI, nodes, lock, camera",Implement a 'camera_lock' command that toggles whether the camera remains locked to the center of the visible nodes.
enhance_sliders,1,"sliders, UI, UX, enhancement","Enhance existing slider functionality: Add more sliders, increase slider ranges, prioritize sliders with larger effects, and implement hold-down functionality."
history_ingest_process,1,"progress, persistence, database, ingestion, history, embedding","Implement a process for history ingestion that fully processes batches, embeds them, updates the database incrementally to save progress."
scale_nodes,1,"scaling, infrastructure, nodes, system",Implement a command to scale nodes (increase their size/capacity).
redesign_layout,1,"layout, ui, responsive, grid, redesign","Redesign the layout to eliminate gaps between rows and consolidate content into a single container with responsive snapping to 50%, 33%, 25%, and 20% widths."
demo_config,1,"versioning, timer, camera, configuration, demo",Create a command to configure the demo in version 1 (v1) with the following parameters:  - Slower speed.  - Dynamic camera.  - Finish timer lasting between 30 and 90 seconds.
